n_trades,win_rate,avg_return,total_profit,max_drawdown,cagr,period,nbdev,timeframe
950,0.10526315789473684,-1.5697040106544995,-93706.93455248732,93689.67497911215,,10,1.5,
948,0.0,-1.5744524903994712,-93891.26050413575,93853.99343239197,,10,2.0,
948,0.0,-1.5744524903994712,-93891.26050413575,93853.99343239197,,10,2.5,
953,0.0,-1.5746859381583789,-95295.34289851529,95195.34289851529,,20,1.5,
953,0.0,-1.5746859381583789,-95295.34289851529,95195.34289851529,,20,2.0,
953,0.0,-1.5746859381583789,-95295.34289851529,95195.34289851529,,20,2.5,
934,0.0,-1.5867005490870416,-93295.5050101445,93265.99803606112,,30,1.5,
932,0.0,-1.590904436633012,-92972.17745273556,92967.63832711776,,30,2.0,
629,15.580286168521463,-1.208303607269952,-43116.93716977327,49219.621764464915,,30,2.5,
